line_number,item_description,mdrm_current,mdrm_legacy,category,asset_liability,start_date,end_date,reconciliation_parent,notes
M.7.a,Equity securities - Readily determinable fair values,BHCKF652,-,Memoranda - Equity Securities,Asset,2008-03-31,9999-12-31,-,
M.7.b,Equity securities - Other,BHCKF653,-,Memoranda - Equity Securities,Asset,2008-03-31,9999-12-31,-,
M.8,Loans pending securitization,BHCKF654,-,Memoranda - Pending Securitization,Asset,2008-03-31,9999-12-31,-,
M.9.a.(1),Gross fair value of commodity contracts,BHCKG212,-,Memoranda - Commodities,Asset,2009-06-30,9999-12-31,Item 9,
M.9.a.(2),Gross fair value of physical commodities held in inventory,BHCKG213,-,Memoranda - Commodities,Asset,2009-06-30,9999-12-31,Item 9,Exclude equity securities
M.9.b.(1),Other trading assets itemized (>$1M & >25% of item 9) - Amount,BHCKF655,-,Memoranda - Itemized Other,Asset,2008-03-31,9999-12-31,Item 9,Description in BHTXF655
M.9.b.(2),Other trading assets itemized - Amount,BHCKF656,-,Memoranda - Itemized Other,Asset,2008-03-31,9999-12-31,Item 9,Description in BHTXF656
M.9.b.(3),Other trading assets itemized - Amount,BHCKF657,-,Memoranda - Itemized Other,Asset,2008-03-31,9999-12-31,Item 9,Description in BHTXF657
M.10.a,Other trading liabilities itemized (>$1M & >25% of item 13.b) - Amount,BHCKF658,-,Memoranda - Itemized Other Liab,Liability,2008-03-31,9999-12-31,Item 13.b,Description in BHTXF658
M.10.b,Other trading liabilities itemized - Amount,BHCKF659,-,Memoranda - Itemized Other Liab,Liability,2008-03-31,9999-12-31,Item 13.b,Description in BHTXF659
M.10.c,Other trading liabilities itemized - Amount,BHCKF660,-,Memoranda - Itemized Other Liab,Liability,2008-03-31,9999-12-31,Item 13.b,Description in BHTXF660
