line_number,item_description,mdrm_code,category,ties_to_hc_line,start_date,end_date,status,notes
1,Earning assets that are repriceable within one year or mature within one year,BHCK3197,Rate Sensitivity - Assets,-,1986-06-30,-,current,All repriceable/maturing-within-1yr earning assets
2,Interest-bearing deposit liabilities that reprice or mature within one year,BHCK3296,Rate Sensitivity - Deposits,"HC Items 13.a(2), 13.b(2)",1986-06-30,-,current,Included in HC items 13.a.(2) and 13.b.(2)
3,Long-term debt that reprices within one year,BHCK3298,Rate Sensitivity - Debt,"HC Items 16, 19.a",1986-06-30,-,current,Included in HC items 16 and 19.a
4,Variable-rate preferred stock,BHCK3408,Rate Sensitivity - Preferred,-,1986-06-30,-,current,Includes both limited-life and perpetual preferred stock
5,Long-term debt scheduled to mature within one year,BHCK3409,Rate Sensitivity - Debt,HC Item 19.a,1981-06-30,-,current,Reported in HC item 19.a
