line_number,loan_category,mdrm_30_89,mdrm_90_plus,mdrm_nonaccrual,prefix,forms,start_date,notes,mdrm_single
M.1.c,Loan modifications: Secured by multifamily (5 or more) residential properties in domestic offices,RCONK111,RCONK112,RCONK113,RCON,031/041,2017-03-31,,-
M.1.d.(1),Loan modifications: Loans secured by owner-occupied nonfarm nonresidential properties in domestic offices,RCONK114,RCONK115,RCONK116,RCON,031/041,2017-03-31,,-
M.1.d.(2),Loan modifications: Loans secured by other nonfarm nonresidential properties in domestic offices,RCONK117,RCONK118,RCONK119,RCON,031/041,2017-03-31,,-
M.1.e.(1),Loan modifications: Commercial and industrial loans to U.S. addressees (domicile),RCFDK120,RCFDK121,RCFDK122,RCFD,031,2011-03-31,,-
M.1.e.(1),Loan modifications: Commercial and industrial loans to U.S. addressees (domicile),RCONK120,RCONK121,RCONK122,RCON,041,2011-03-31,,-
M.1.e.(2),Loan modifications: Commercial and industrial loans to non-U.S. addressees (domicile),RCFDK123,RCFDK124,RCFDK125,RCFD,031,2011-03-31,,-
M.1.e.(2),Loan modifications: Commercial and industrial loans to non-U.S. addressees (domicile),RCONK123,RCONK124,RCONK125,RCON,041,2011-03-31,,-
M.1.f,"Loan modifications: All other loans (include loans to individuals for household, family, and other personal expenditures)",RCONK126,RCONK127,RCONK128,RCON,031/041,2017-03-31,,-
M.1.f.(1),Itemized: Loans secured by farmland in domestic offices,RCONK130,RCONK131,RCONK132,RCON,031/041,2017-03-31,,-
M.1.f.(3),Itemized: Loans to finance agricultural production and other loans to farmers,RCONK138,RCONK139,RCONK140,RCON,031,2017-03-31,,-
M.1.f.(4)(a),Itemized: Loans to individuals: Credit cards,RCONK274,RCONK275,RCONK276,RCON,031/041,2017-03-31,,-
M.1.f.(4)(b),Itemized: Loans to individuals: Automobile loans,RCONK277,RCONK278,RCONK279,RCON,031/041,2017-03-31,,-
M.1.f.(4)(c),"Itemized: Loans to individuals: Other (revolving credit plans other than credit cards, and other consumer loans)",RCONK280,RCONK281,RCONK282,RCON,031/041,2017-03-31,,-
M.1.g,Total loan modifications to borrowers experiencing financial difficulty included in Schedule RC-N items 1-7 above (sum of M.1.a.(1) through M.1.f),RCONHK26,RCONHK27,RCONHK28,RCON,031/041,2017-03-31,,-
M.2,"Loans to finance commercial real estate, construction, and land development activities (not secured by real estate) included in Schedule RC-N items 4 and 7 above",RCFD6558,RCFD6559,RCFD6560,RCFD,031,2001-03-31,,-
M.2,"Loans to finance commercial real estate, construction, and land development activities (not secured by real estate) included in Schedule RC-N items 4 and 7 above",RCON6558,RCON6559,RCON6560,RCON,041,2017-03-31,,-
M.2,"Loans to finance commercial real estate, construction, and land development activities (not secured by real estate) included in Schedule RC-N items 4 and 7 above",RCON1594,RCON1597,RCON1583,RCON,051,2017-03-31,,-
M.3,Loans secured by real estate to non-U.S. addressees (domicile) included in Schedule RC-N item 1 above,RCFD1248,RCFD1249,RCFD1250,RCFD,031,2001-03-31,,-
M.3,Loans secured by real estate to non-U.S. addressees (domicile) included in Schedule RC-N item 1 above,RCONC240,RCONC241,RCONC226,RCON,051,2017-03-31,,-
M.5,Loans and leases held for sale included in Schedule RC-N items 1 through 8 above,RCFDC240,RCFDC241,RCFDC226,RCFD,031,2002-03-31,,-
M.5,Loans and leases held for sale included in Schedule RC-N items 1 through 8 above,RCONC240,RCONC241,RCONC226,RCON,041,2017-03-31,,-
M.5,Loans and leases held for sale included in Schedule RC-N items 1 through 8 above,RCONPV23,RCONPV24,RCONPV25,RCON,051,2024-12-31,,-
M.6,Derivative contracts: Fair value of amounts carried as assets,RCFD3529,RCFD3530,-,RCFD,031,2001-06-30,,-
M.7,Additions to nonaccrual assets during the previous six months,-,-,-,RCFD,031,2006-09-30,single-column memorandum (nonaccrual flow); code in mdrm_single,RCFDC410
M.7,Additions to nonaccrual assets during the previous six months,-,-,-,RCON,041,2017-03-31,single-column memorandum (nonaccrual flow); code in mdrm_single,RCONC410
M.8,Nonaccrual assets sold during the previous six months,-,-,-,RCFD,031,2006-09-30,single-column memorandum (nonaccrual flow); code in mdrm_single,RCFDC411
