line_number,item_description,mdrm_code,call_mdrm,category,ties_to_hc_line,start_date,notes
1,Accrued interest receivable,BHCKB556,RCFDB556,Other Assets - Interest,HC Item 11,2001-03-31,Interest earned but not yet collected
2,Net deferred tax assets,BHCK2148,RCFD2148,Other Assets - Tax,HC Item 11,2001-03-31,Net deductible temporary differences
3,Interest-only strips receivable (not in the form of a security),BHCKHT80,RCFDHT80,Other Assets - Strips,HC Item 11,2018-06-30,IO strips not held as a security
4,Equity investments without readily determinable fair values,BHCK1752,RCFD1752,Other Assets - Equity,HC Item 11,1994-03-31,FHLB/FRB stock; cost-method equity (ASU 2016-01)
5.a,Life insurance assets - General account,BHCKK201,RCFDK201,Other Assets - BOLI,HC Item 11,2011-03-31,General account BOLI
5.b,Life insurance assets - Separate account,BHCKK202,RCFDK202,Other Assets - BOLI,HC Item 11,2011-03-31,Separate account BOLI
5.c,Life insurance assets - Hybrid account,BHCKK270,RCFDK270,Other Assets - BOLI,HC Item 11,2011-03-31,Hybrid account BOLI
6,Other,BHCK2168,RCFD2168,Other Assets - Misc,HC Item 11,2001-03-31,Residual other assets
7,Total (sum of items 1 through 6),BHCT2160,RCFD2160,Other Assets - Total,HC Item 11,2006-09-30,Must equal Schedule HC item 11
