mnemonic,item_code,item_name,confidentiality,item_type,description
FCEX,8590,REDISTRIBUTION OF GUARANTEEDS ISSUED BY THE COUNTRY'S BANKS OR REALLOCATED TO THE COUNTRY OF HEAD OFFICE,Y,F,Included on each country line (including the U.S. line and each international and regional line) claims reported in items 8586; 8587 and 8588 that are guaranteed (as defined in part III; definition C) by banks in that country. All claims reported in item 8586 on a bank's branches that are located outside the home country of the bank are considered to be 'guaranteed' by the head office and are to be reallocated to the country line of the head office in this item. This includes claims on U.S. bran
FCEX,8591,REDISTRIBUTION OF GUARANTEES ISSUED BY ANOTHER COUNTRY'S PUBLIC SECTOR ENTITIES,Y,F,This item reallocates those claims on borrowers reported in items 8586; 8587 and 8588 that are guaranteed by the public sectors of other countries (including the United States and international or regional institutions) to the countries of the guarantors. Portions of claims on foreign residents that are guaranteed by the Eximbank; Defense Department; or other U.S. government agencies; which are reported in items 8586; 8587 and 8588 for the country of residence of the borrower are reported in the
FCEX,8592,REDISTRIBUTION OF GUARANTEES ISSUED BY ALL OTHER GUARANTORS IN ANOTHER COUNTRY,Y,F,This item reallocates those claims reported in items 8586; 8587 and 8588 that are guaranteed by non-bank and non-public sector guarantors in other countries (including the United States and international or regional institutions) to the countries of the guarantors. NOTE: Reported on Schedule 1 for the FFIEC 009 report. Also reported as confidential.
FCEX,8593,LOCAL COUNTRY CLAIMS ON LOCAL RESIDENTS,Y,F,Included in this item on each foreign country line; are outstanding claims of the respondent's foreign offices that are on residents of the country in which the offices are located. Includes claims denominated in both local currency and non-local currency (e.g.; Belgian franc or U.S. dollar loans to residents of Belgium by a Belgian branch of the respondent). All amounts are reported in U.S. dollar equivalents. These amounts are reported only in this item and are not reflected in any other items
FCEX,8594,LOCAL COUNTRY LIABILITIES TO LOCAL RESIDENTS,Y,F,Included in this item; by country; are the liabilities of the respondent's foreign offices that represents legal obligations of the foreign offices and for which no payment is guaranteed at locations outside of the country of the office; for example; deposits with a foreign branch that do not carry a cross-border guarantee are assumed to be the legal liabilities of the foreign branch only and are to be paid at that branch. Local country liabilities may be made to residents or non-residents and p
FCEX,8595,NET DUE TO (OR DUE FROM) OWN RELATED OFFICES IN OTHER COUNTRIES,Y,F,Included for each country in which the respondent has an office are the net liabilities (or claims) of those offices on all other offices of the respondent that are located in other countries (e.g.; the net amount a German branch has 'due to' or 'due from' the head office and any other consolidated non-German office of the parent). Only a single net figure is to be reported for all the offices of the respondent in a given country. If the offices in a given country taken together have a net 'due 
FCEX,8596,COMMERCIAL LETTERS OF CREDIT,Y,F,Includes commercial letters of credit. NOTE: Reported on the FFIEC 009 report. Also reported as confidential.
FCEX,8597,CROSS-BORDER & FOREIGN-OFFICE NON-LOCAL CURRENCY: STANDBY LETTERS OF CREDIT & RISK PARTICIPATIONS PURCHASED,Y,F,
FCEX,8598,ALL OTHER COMMITMENTS,Y,F,Includes all other commitments. NOTE: Reported on the FFIEC 009 report. Also reported as confidential.
FCEX,8599,COMMITMENTS REPORTED IN ITEM A153 HEAD OFFICE/GUARANTOR IN ANOTHER COUNTRY,Y,F,Includes those letters of credit and other commitments issued by the respondent to residents of each country reported in item A153 that involves potential claims on customers that would; in turn; be guaranteed (as defined in Part III definition C) by residents of other countries; including the United States. The foreign country entries in this item are components of the same country entries in item A153. However; this item (column 16); of the United States line is not a component of item A153; w
FCEX,8600,REDISTRIBUTION OF COMMITMENTS IN ITEM A153 TO COUNTRY(S) OF HEAD OFFICE/GUARANTOR,Y,F,This item (column 17); reallocates to the guarantor countries (including the United States and each international or regional institution); the amounts of letters of credit and other commitments reported in item A153 that involves guarantees issued by residents of other countries. The total of this item equals the total of item A153. NOTE: Reported on Schedule 1 for the FFIEC 009 report. Also reported as confidential.
FCEX,8605,REDISTRIBUTION OF CLAIMS ON BANKS,Y,F,Includes the redistribution of claims on banks indicated in item 8586 (column 9) to country(s) of head office or guarantor(s). NOTE: Reported on the FFIEC 009 report. Also reported as confidential.
FCEX,8606,CLAIMS REPORTED IN ITEMS 8578 AND 8579,Y,F,Includes claims reported in items 8578 and 8579 (columns 2 and 3) with guarantor(s) located in another country(s). NOTE: Reported on the FFIEC 009 report. Also reported as confidential.
FCEX,8607,REDISTRIBUTION OF CLAIMS INDICATED IN ITEM 8606,Y,F,Includes the redistribution of claims indicated in item 8606 (column 11) to country(s) of guarantor(s). NOTE: Reported on the FFIEC 009 report. Also reported as confidential.
FCEX,8670,ESTIMATED BREAKDOWN OF ITEM 8580 WITH A REMAINING MATURITY OF OVER ONE YEAR TO FIVE YEARS,Y,F,Includes an estimated breakdown of total claims reported in item 8580 with a remaining maturity of over one year to five years. NOTE: Reported on Schedule 1 for the FFIEC 009 report. Also reported as confidential.
FCEX,8786,REPORTING LEVEL CODE,Y,F,Effective 10/24/2011; the FR 2572 information collection was transferred to the Consumer Financial Protection Bureau (CFPB); removing it from the Board's OMB inventory and adding it to the CFPB's under control number 3170-0001 0 = NA 1 = Fully consolidated entity including foreign office(s) 2 = Domestic office consolidation 3 = Foreign office consolidation 4 = Head office only 5 = Branch or combination of branches or offices The purpose of the Reporting level code is to give users information on
FCEX,8787,REPORTING EXCEPTION CODE,Y,F,Effective 10/24/2011; the FR 2572 information collection was transferred to the Consumer Financial Protection Bureau (CFPB); removing it from the Board's OMB inventory and adding it to the CFPB's under control number 3170-0001 1. The panel member files a consolidated report for two or more entities. The RPMS Exceptions table identifies the entities with financial data consolidated with the panel member. For FFIEC 002s reporters; the Exceptions table identifies the other managing U.S. branches of
